State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.75579	1.76066	1.75687	1.76930	1.76876	1.77146	1.75687	1.74607	1.74067	1.73094	1.72446	1.72770	1.72014	1.71311	1.69259	1.67422	1.64072	1.62343	1.60182	1.58238	1.56671
2	1.44398	1.44615	1.45258	1.45402	1.45113	1.44742	1.44814	1.44579	1.44959	1.45792	1.46877	1.46615	1.47194	1.47348	1.47212	1.47321	1.47529	1.47945	1.48289	1.48479	1.48289
3	0.35314	0.35299	0.35291	0.35269	0.35284	0.35306	0.35374	0.35382	0.35397	0.35404	0.35450	0.35427	0.35465	0.35404	0.35404	0.35472	0.35510	0.35548	0.35646	0.35653	0.35668
4	2.40748	2.47816	2.40748	2.40748	2.50467	2.60847	2.65044	2.75425	2.74541	2.68578	2.74541	2.81388	2.87794	2.91769	3.02592	2.99721	3.02813	3.01046	2.95745	2.94641	3.04580
5	1.68380	1.52486	1.58446	1.71360	1.82784	1.86261	1.97685	2.08115	2.09109	2.00665	1.70367	1.96691	2.11592	2.02652	2.08612	2.16559	2.10599	2.14076	2.16559	2.23513	2.19539
6	1.27995	1.29947	1.28862	1.25174	1.26910	1.36238	1.37323	1.39059	1.37974	1.41879	1.32767	1.28862	1.16280	1.19317	1.25174	1.25174	1.29079	1.22571	1.22571	1.28428	1.26910
7	3.07992	3.04093	3.07992	2.99081	2.92954	2.80702	2.85157	2.85157	2.94625	2.85714	2.94068	2.89613	2.96296	3.05207	2.84600	2.82929	2.81258	2.85157	2.95182	2.77360	2.80702
8	4.85406	4.71048	4.55586	4.40124	4.48407	4.31288	4.08095	4.06438	3.83797	3.62812	3.49007	3.47902	3.36858	3.38514	3.53424	3.61156	3.77170	3.78827	3.60603	3.47902	3.40171
9	1.88826	1.91424	1.84495	1.94889	1.76266	1.87094	1.87094	1.79731	1.91424	1.94023	1.84928	1.82763	1.68471	1.62408	1.58510	1.63274	1.62408	1.72802	1.81897	1.83196	1.88826
10	1.13268	1.11472	1.11334	1.07881	1.07190	1.02217	1.01803	1.00283	0.96140	0.96001	0.95034	0.91581	0.89509	0.87437	0.85227	0.83570	0.82188	0.79149	0.79426	0.83570	0.85365
