State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.35647	1.34122	1.33216	1.32691	1.31833	1.31404	1.30832	1.27590	1.24443	1.23346	1.21582	1.22726	1.29306	1.34980	1.41703	1.45422	1.48282	1.50237	1.53050	1.57961	1.62967
2	1.27031	1.22694	1.17224	1.09645	1.00580	0.90358	0.80167	0.71518	0.66015	0.62557	0.61383	0.61798	0.64130	0.67533	0.71142	0.75407	0.80143	0.84647	0.89224	0.92306	0.95693
3	0.25585	0.25505	0.25399	0.25279	0.25186	0.25013	0.24906	0.24667	0.24414	0.24354	0.24188	0.24141	0.24175	0.24368	0.24733	0.24946	0.25159	0.25299	0.25498	0.25658	0.25851
4	3.57889	3.70169	3.81085	3.75627	3.47363	3.01555	2.46390	1.99412	1.72122	1.51460	1.43273	1.40349	1.46586	1.61011	1.82648	2.21439	2.67052	2.93173	3.04673	3.08572	3.06038
5	3.97153	4.24769	4.32660	4.80879	5.05865	5.06304	4.93153	4.32221	3.12111	2.44166	2.07782	1.99015	1.93754	1.96384	2.04275	2.26193	2.08220	2.03837	2.03837	1.95508	1.90247
6	3.72390	4.07427	4.52229	5.11199	5.96398	6.55751	6.53836	5.61744	4.37486	4.90329	4.87649	2.81446	2.75703	2.73788	2.69767	2.53493	2.26497	2.00076	1.67528	1.57763	1.36320
7	4.39922	4.97432	6.07044	7.95793	10.79407	15.79297	23.44615	33.89123	44.23801	48.86826	47.52637	39.84370	28.90708	20.07423	14.02345	9.55541	6.67502	4.79245	3.60294	2.99835	2.55597
8	7.82710	9.29407	11.57007	14.08975	17.15529	20.00151	21.55620	21.81451	20.90801	18.32984	21.27840	34.34469	43.00031	47.96170	49.10214	45.80754	38.69200	31.03547	24.54376	19.17298	15.42026
9	5.15233	5.23642	4.87331	4.41465	3.42470	2.46914	1.73528	1.29955	1.11608	1.29955	1.36070	1.07022	1.16195	1.53653	2.32390	4.87331	8.55792	11.68066	13.51914	14.26829	13.98163
10	1.55067	1.35318	1.13009	0.89480	0.72779	0.59125	0.52177	0.50226	0.48397	0.47056	0.47056	0.47178	0.47178	0.51689	0.55956	0.69366	1.11424	1.75425	2.41499	3.10499	3.73160
