State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	6.47231	1.84774	1.81268	1.29920	1.72410	1.21586	1.45906	0.66728
2	38.64019	0.67589	1.38875	1.19053	1.46884	0.61385	0.91348	0.82527
3	46.38886	0.13388	0.34507	0.69741	0.35453	0.24189	0.27276	1.30515
4	1.58311	0.77899	2.12492	1.37230	2.74570	1.43277	2.53506	0.37669
5	0.70398	0.71475	1.60733	0.97992	1.70384	2.07788	3.09510	0.46254
6	1.61179	3.93485	1.36048	0.74530	1.32781	4.87664	3.80049	0.70011
7	0.62782	45.22949	6.20515	1.06127	2.94099	47.52784	16.85107	0.37361
8	0.63319	27.91070	5.92022	1.97383	3.49043	21.27419	21.35869	0.22014
9	0.80737	0.69891	1.60521	2.15997	1.84514	1.36075	4.36851	0.21307
10	2.53138	0.39595	1.17323	2.17801	0.95044	0.47058	1.05010	0.25744
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
