State (Emission order)	H3k79me2	H4k20me1	H3k9me1	H3k4me1	H3k27ac	H3k4me2	H3k4me3	H2az	H3k9me3	H3k27me3
1	0.001990351960424173	0.04196702160330948	0.051744808718084914	0.0037503817917404797	0.008649724347739368	0.001256800231399244	0.002167632457821005	0.0042526260877762245	0.01843518887427708	0.08226820859116149
2	0.0014595772840542006	0.0046616524027349076	0.01684933184840887	0.0016332435159937273	0.00240946263238768	3.971498590857671E-5	5.118598060200537E-4	0.0037718317522346793	0.003003393872437556	0.005170635144239828
3	4.040154702316358E-5	6.408931251722073E-4	0.004105990839123905	3.1297074942218174E-4	5.105742323055797E-4	1.0943854936283763E-4	4.1242431489795547E-4	2.759665275270471E-4	0.006816499042395542	6.421934488610609E-4
4	0.021783492458420005	0.028918317919434278	0.07741619156690574	0.5192858167844009	0.08232304172608595	0.01427357837708479	0.013679273665912284	0.028908864307810055	0.007634615735896312	0.00232042930957409
5	0.028952650713043742	0.01660488828846407	0.10902967107368296	0.96083032165938	0.5443675052751359	0.283711490690779	0.1610572334853002	0.7313934275395251	0.02135421466614201	0.001434436204100856
6	0.0013304907929323872	0.00292520708228625	0.026658622938019544	0.1725775635848489	0.01527397087743748	0.031242172102372717	0.026109198643358818	0.4881355116411927	0.018794669243713907	0.006250233610552048
7	0.0506404531941907	0.017754886068870088	0.04828643609332578	0.40009724338102515	0.6085206897520267	0.9510844837317758	0.8381781934464143	0.8075711942135183	0.01903367012388798	0.010829630294977773
8	0.9644738821322988	0.0831991002713369	0.06225986886992236	0.3786158901727934	0.7918383430111311	0.982743316948216	0.9405080871621329	0.4634795396074317	0.009012966541172295	1.0279483243255457E-4
9	0.9201799800538316	0.1282533898085388	0.1708771732999762	0.6527427397228471	0.20489631814011142	0.1616242489827451	0.08153319499502204	0.024788166306113642	0.010467460026155943	3.167137302568378E-4
10	0.5445113828389418	0.020512530706328403	0.03988575480793934	0.02462854309003087	0.006121557345324055	1.1180764010770955E-4	0.0011025891158973683	4.266196869634373E-4	0.016041465462041642	2.1108969533202825E-4
